category,currency,customer_first_name,customer_full_name,customer_gender,customer_id,customer_last_name,customer_phone,day_of_week,day_of_week_i,email,geoip.city_name,geoip.continent_name,geoip.country_iso_code,geoip.location,geoip.region_name,manufacturer,order_date,order_id,products,products.created_on,sku,taxful_total_price,taxless_total_price,total_quantity,total_unique_products,type,user
"[""Men's Clothing"",""Men's Shoes""]",EUR,Muniz,Muniz Valdez,MALE,37,Valdez,,Saturday,5,muniz@valdez-family.zzz,Marrakesh,Africa,MA,"{
  ""lon"": -8,
  ""lat"": 31.6
}",Marrakech-Tensift-Al Haouz,"[""Spritechnologies"",""Microlutions""]","March 30th 2019, 10:03:22.000",572621,"[{""base_price"":41.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Spritechnologies"",""tax_amount"":0,""product_id"":14481,""category"":""Men's Clothing"",""sku"":""ZO0627006270"",""taxless_price"":41.99,""unit_discount_amount"":0,""min_price"":22.67,""_id"":""sold_product_572621_14481"",""discount_amount"":0,""created_on"":""2016-12-17T10:03:22+00:00"",""product_name"":""Sherpa - Wool - grey"",""price"":41.99,""taxful_price"":41.99,""base_unit_price"":41.99},{""base_price"":49.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Microlutions"",""tax_amount"":0,""product_id"":14699,""category"":""Men's Shoes"",""sku"":""ZO0107601076"",""taxless_price"":49.99,""unit_discount_amount"":0,""min_price"":23.5,""_id"":""sold_product_572621_14699"",""discount_amount"":0,""created_on"":""2016-12-17T10:03:22+00:00"",""product_name"":""High-top trainers - tan"",""price"":49.99,""taxful_price"":49.99,""base_unit_price"":49.99}]","[""December 17th 2016, 10:03:22.000"",""December 17th 2016, 10:03:22.000""]","[""ZO0627006270"",""ZO0107601076""]",$91.98 ,91.98,2,2,order,muniz
"[""Women's Clothing"",""Women's Shoes""]",EUR,Rabbia Al,Rabbia Al Adams,FEMALE,5,Adams,,Saturday,5,rabbia al@adams-family.zzz,Dubai,Asia,AE,"{
  ""lon"": 55.3,
  ""lat"": 25.3
}",Dubai,"[""Pyramidustries"",""Tigress Enterprises""]","March 30th 2019, 09:50:24.000",572610,"[{""base_price"":24.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Pyramidustries"",""tax_amount"":0,""product_id"":23715,""category"":""Women's Clothing"",""sku"":""ZO0178901789"",""taxless_price"":24.99,""unit_discount_amount"":0,""min_price"":12,""_id"":""sold_product_572610_23715"",""discount_amount"":0,""created_on"":""2016-12-17T09:50:24+00:00"",""product_name"":""Sweatshirt - dark grey multicolor"",""price"":24.99,""taxful_price"":24.99,""base_unit_price"":24.99},{""base_price"":41.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Tigress Enterprises"",""tax_amount"":0,""product_id"":5561,""category"":""Women's Shoes"",""sku"":""ZO0031300313"",""taxless_price"":41.99,""unit_discount_amount"":0,""min_price"":21,""_id"":""sold_product_572610_5561"",""discount_amount"":0,""created_on"":""2016-12-17T09:50:24+00:00"",""product_name"":""Lace-up boots - Blue Violety"",""price"":41.99,""taxful_price"":41.99,""base_unit_price"":41.99}]","[""December 17th 2016, 09:50:24.000"",""December 17th 2016, 09:50:24.000""]","[""ZO0178901789"",""ZO0031300313""]",$66.98 ,66.98,2,2,order,rabbia
"[""Men's Clothing""]",EUR,Jason,Jason Rodriguez,MALE,16,Rodriguez,,Saturday,5,jason@rodriguez-family.zzz,New York,North America,US,"{
  ""lon"": -74,
  ""lat"": 40.8
}",New York,"[""Microlutions"",""Elitelligence""]","March 30th 2019, 09:48:58.000",572606,"[{""base_price"":33.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Microlutions"",""tax_amount"":0,""product_id"":23542,""category"":""Men's Clothing"",""sku"":""ZO0124901249"",""taxless_price"":33.99,""unit_discount_amount"":0,""min_price"":17.33,""_id"":""sold_product_572606_23542"",""discount_amount"":0,""created_on"":""2016-12-17T09:48:58+00:00"",""product_name"":""Hoodie - Dark Salmon"",""price"":33.99,""taxful_price"":33.99,""base_unit_price"":33.99},{""base_price"":12.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Elitelligence"",""tax_amount"":0,""product_id"":18321,""category"":""Men's Clothing"",""sku"":""ZO0557905579"",""taxless_price"":12.99,""unit_discount_amount"":0,""min_price"":7.14,""_id"":""sold_product_572606_18321"",""discount_amount"":0,""created_on"":""2016-12-17T09:48:58+00:00"",""product_name"":""Vest - white/grey"",""price"":12.99,""taxful_price"":12.99,""base_unit_price"":12.99}]","[""December 17th 2016, 09:48:58.000"",""December 17th 2016, 09:48:58.000""]","[""ZO0124901249"",""ZO0557905579""]",$46.98 ,46.98,2,2,order,jason
"[""Men's Clothing""]",EUR,Fitzgerald,Fitzgerald Jackson,MALE,11,Jackson,,Saturday,5,fitzgerald@jackson-family.zzz,Los Angeles,North America,US,"{
  ""lon"": -118.2,
  ""lat"": 34.1
}",California,"[""Spritechnologies"",""Low Tide Media""]","March 30th 2019, 09:34:34.000",572585,"[{""base_price"":14.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Spritechnologies"",""tax_amount"":0,""product_id"":4539,""category"":""Men's Clothing"",""sku"":""ZO0616206162"",""taxless_price"":14.99,""unit_discount_amount"":0,""min_price"":7.5,""_id"":""sold_product_572585_4539"",""discount_amount"":0,""created_on"":""2016-12-17T09:34:34+00:00"",""product_name"":""Sports shirt - Seashell"",""price"":14.99,""taxful_price"":14.99,""base_unit_price"":14.99},{""base_price"":16.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Low Tide Media"",""tax_amount"":0,""product_id"":24390,""category"":""Men's Clothing"",""sku"":""ZO0451404514"",""taxless_price"":16.99,""unit_discount_amount"":0,""min_price"":8.83,""_id"":""sold_product_572585_24390"",""discount_amount"":0,""created_on"":""2016-12-17T09:34:34+00:00"",""product_name"":""Jumper - dark brown multicolor"",""price"":16.99,""taxful_price"":16.99,""base_unit_price"":16.99}]","[""December 17th 2016, 09:34:34.000"",""December 17th 2016, 09:34:34.000""]","[""ZO0616206162"",""ZO0451404514""]",$31.98 ,31.98,2,2,order,fuzzy
"[""Women's Clothing""]",EUR,Betty,Betty Powell,FEMALE,44,Powell,,Saturday,5,betty@powell-family.zzz,New York,North America,US,"{
  ""lon"": -74,
  ""lat"": 40.7
}",New York,"[""Pyramidustries"",""Tigress Enterprises""]","March 30th 2019, 09:30:14.000",572578,"[{""base_price"":10.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Pyramidustries"",""tax_amount"":0,""product_id"":13590,""category"":""Women's Clothing"",""sku"":""ZO0159601596"",""taxless_price"":10.99,""unit_discount_amount"":0,""min_price"":6.04,""_id"":""sold_product_572578_13590"",""discount_amount"":0,""created_on"":""2016-12-17T09:30:14+00:00"",""product_name"":""Print T-shirt - light grey multicolor"",""price"":10.99,""taxful_price"":10.99,""base_unit_price"":10.99},{""base_price"":16.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Tigress Enterprises"",""tax_amount"":0,""product_id"":22501,""category"":""Women's Clothing"",""sku"":""ZO0058300583"",""taxless_price"":16.99,""unit_discount_amount"":0,""min_price"":9.17,""_id"":""sold_product_572578_22501"",""discount_amount"":0,""created_on"":""2016-12-17T09:30:14+00:00"",""product_name"":""Basic T-shirt - peacoat"",""price"":16.99,""taxful_price"":16.99,""base_unit_price"":16.99}]","[""December 17th 2016, 09:30:14.000"",""December 17th 2016, 09:30:14.000""]","[""ZO0159601596"",""ZO0058300583""]",$27.98 ,27.98,2,2,order,betty
"[""Men's Clothing""]",EUR,Jim,Jim Maldonado,MALE,41,Maldonado,,Saturday,5,jim@maldonado-family.zzz,New York,North America,US,"{
  ""lon"": -74,
  ""lat"": 40.8
}",New York,"[""Elitelligence""]","March 30th 2019, 09:20:10.000",572571,"[{""base_price"":29.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Elitelligence"",""tax_amount"":0,""product_id"":21691,""category"":""Men's Clothing"",""sku"":""ZO0536105361"",""taxless_price"":29.99,""unit_discount_amount"":0,""min_price"":14.4,""_id"":""sold_product_572571_21691"",""discount_amount"":0,""created_on"":""2016-12-17T09:20:10+00:00"",""product_name"":""Slim fit jeans - white"",""price"":29.99,""taxful_price"":29.99,""base_unit_price"":29.99},{""base_price"":22.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Elitelligence"",""tax_amount"":0,""product_id"":14799,""category"":""Men's Clothing"",""sku"":""ZO0593805938"",""taxless_price"":22.99,""unit_discount_amount"":0,""min_price"":11.95,""_id"":""sold_product_572571_14799"",""discount_amount"":0,""created_on"":""2016-12-17T09:20:10+00:00"",""product_name"":""Sweatshirt - mottled grey"",""price"":22.99,""taxful_price"":22.99,""base_unit_price"":22.99}]","[""December 17th 2016, 09:20:10.000"",""December 17th 2016, 09:20:10.000""]","[""ZO0536105361"",""ZO0593805938""]",$52.98 ,52.98,2,2,order,jim
"[""Women's Clothing""]",EUR,Yasmine,Yasmine Turner,FEMALE,43,Turner,,Saturday,5,yasmine@turner-family.zzz,,Asia,SA,"{
  ""lon"": 45,
  ""lat"": 25
}",,"[""Champion Arts"",""Pyramidustries""]","March 30th 2019, 09:17:17.000",572566,"[{""base_price"":28.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Champion Arts"",""tax_amount"":0,""product_id"":11240,""category"":""Women's Clothing"",""sku"":""ZO0498504985"",""taxless_price"":28.99,""unit_discount_amount"":0,""min_price"":13.63,""_id"":""sold_product_572566_11240"",""discount_amount"":0,""created_on"":""2016-12-17T09:17:17+00:00"",""product_name"":""Tracksuit top - navy"",""price"":28.99,""taxful_price"":28.99,""base_unit_price"":28.99},{""base_price"":20.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Pyramidustries"",""tax_amount"":0,""product_id"":16713,""category"":""Women's Clothing"",""sku"":""ZO0170701707"",""taxless_price"":20.99,""unit_discount_amount"":0,""min_price"":10.7,""_id"":""sold_product_572566_16713"",""discount_amount"":0,""created_on"":""2016-12-17T09:17:17+00:00"",""product_name"":""Blouse - off white"",""price"":20.99,""taxful_price"":20.99,""base_unit_price"":20.99}]","[""December 17th 2016, 09:17:17.000"",""December 17th 2016, 09:17:17.000""]","[""ZO0498504985"",""ZO0170701707""]",$49.98 ,49.98,2,2,order,yasmine
"[""Women's Shoes"",""Women's Accessories""]",EUR,Abigail,Abigail Pope,FEMALE,46,Pope,,Saturday,5,abigail@pope-family.zzz,Birmingham,Europe,GB,"{
  ""lon"": -1.9,
  ""lat"": 52.5
}",Birmingham,"[""Low Tide Media"",""Angeldale""]","March 30th 2019, 09:12:58.000",572559,"[{""base_price"":49.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Low Tide Media"",""tax_amount"":0,""product_id"":17561,""category"":""Women's Shoes"",""sku"":""ZO0370703707"",""taxless_price"":49.99,""unit_discount_amount"":0,""min_price"":25.99,""_id"":""sold_product_572559_17561"",""discount_amount"":0,""created_on"":""2016-12-17T09:12:58+00:00"",""product_name"":""High heeled sandals - white"",""price"":49.99,""taxful_price"":49.99,""base_unit_price"":49.99},{""base_price"":49.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Angeldale"",""tax_amount"":0,""product_id"":18996,""category"":""Women's Accessories"",""sku"":""ZO0696506965"",""taxless_price"":49.99,""unit_discount_amount"":0,""min_price"":27.49,""_id"":""sold_product_572559_18996"",""discount_amount"":0,""created_on"":""2016-12-17T09:12:58+00:00"",""product_name"":""Across body bag - black"",""price"":49.99,""taxful_price"":49.99,""base_unit_price"":49.99}]","[""December 17th 2016, 09:12:58.000"",""December 17th 2016, 09:12:58.000""]","[""ZO0370703707"",""ZO0696506965""]",$99.98 ,99.98,2,2,order,abigail
"[""Men's Clothing""]",EUR,Jason,Jason Shaw,MALE,16,Shaw,,Saturday,5,jason@shaw-family.zzz,New York,North America,US,"{
  ""lon"": -74,
  ""lat"": 40.8
}",New York,"[""Low Tide Media"",""Elitelligence""]","March 30th 2019, 09:01:26.000",572547,"[{""base_price"":11.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Low Tide Media"",""tax_amount"":0,""product_id"":16762,""category"":""Men's Clothing"",""sku"":""ZO0411104111"",""taxless_price"":11.99,""unit_discount_amount"":0,""min_price"":5.4,""_id"":""sold_product_572547_16762"",""discount_amount"":0,""created_on"":""2016-12-17T09:01:26+00:00"",""product_name"":""Tie - light grey"",""price"":11.99,""taxful_price"":11.99,""base_unit_price"":11.99},{""base_price"":10.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Elitelligence"",""tax_amount"":0,""product_id"":12173,""category"":""Men's Clothing"",""sku"":""ZO0610106101"",""taxless_price"":10.99,""unit_discount_amount"":0,""min_price"":5.17,""_id"":""sold_product_572547_12173"",""discount_amount"":0,""created_on"":""2016-12-17T09:01:26+00:00"",""product_name"":""2 PACK - Shorts - grey/stripe"",""price"":10.99,""taxful_price"":10.99,""base_unit_price"":10.99}]","[""December 17th 2016, 09:01:26.000"",""December 17th 2016, 09:01:26.000""]","[""ZO0411104111"",""ZO0610106101""]",$22.98 ,22.98,2,2,order,jason
"[""Women's Clothing"",""Women's Accessories""]",EUR,Elyssa,Elyssa Pratt,FEMALE,27,Pratt,,Saturday,5,elyssa@pratt-family.zzz,New York,North America,US,"{
  ""lon"": -74,
  ""lat"": 40.8
}",New York,"[""Tigress Enterprises"",""Pyramidustries"",""Champion Arts""]","March 30th 2019, 08:35:31.000",728089,"[{""base_price"":28.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Tigress Enterprises"",""tax_amount"":0,""product_id"":13638,""category"":""Women's Clothing"",""sku"":""ZO0069800698"",""taxless_price"":28.99,""unit_discount_amount"":0,""min_price"":15.36,""_id"":""sold_product_728089_13638"",""discount_amount"":0,""created_on"":""2016-12-17T08:35:31+00:00"",""product_name"":""Cardigan - grey multicolor"",""price"":28.99,""taxful_price"":28.99,""base_unit_price"":28.99},{""base_price"":18.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Pyramidustries"",""tax_amount"":0,""product_id"":24269,""category"":""Women's Accessories"",""sku"":""ZO0204302043"",""taxless_price"":18.99,""unit_discount_amount"":0,""min_price"":9.12,""_id"":""sold_product_728089_24269"",""discount_amount"":0,""created_on"":""2016-12-17T08:35:31+00:00"",""product_name"":""Handbag - black"",""price"":18.99,""taxful_price"":18.99,""base_unit_price"":18.99},{""base_price"":7.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Pyramidustries"",""tax_amount"":0,""product_id"":11472,""category"":""Women's Clothing"",""sku"":""ZO0156801568"",""taxless_price"":7.99,""unit_discount_amount"":0,""min_price"":4,""_id"":""sold_product_728089_11472"",""discount_amount"":0,""created_on"":""2016-12-17T08:35:31+00:00"",""product_name"":""Basic T-shirt - dark green"",""price"":7.99,""taxful_price"":7.99,""base_unit_price"":7.99},{""base_price"":16.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Champion Arts"",""tax_amount"":0,""product_id"":14130,""category"":""Women's Clothing"",""sku"":""ZO0500805008"",""taxless_price"":16.99,""unit_discount_amount"":0,""min_price"":8.66,""_id"":""sold_product_728089_14130"",""discount_amount"":0,""created_on"":""2016-12-17T08:35:31+00:00"",""product_name"":""Sweatshirt - black"",""price"":16.99,""taxful_price"":16.99,""base_unit_price"":16.99}]","[""December 17th 2016, 08:35:31.000"",""December 17th 2016, 08:35:31.000"",""December 17th 2016, 08:35:31.000"",""December 17th 2016, 08:35:31.000""]","[""ZO0069800698"",""ZO0204302043"",""ZO0156801568"",""ZO0500805008""]",$72.96 ,72.96,4,4,order,elyssa
"[""Men's Clothing""]",EUR,Frances,Frances Underwood,FEMALE,49,Underwood,,Saturday,5,frances@underwood-family.zzz,Cannes,Europe,FR,"{
  ""lon"": 7,
  ""lat"": 43.6
}",Alpes-Maritimes,"[""Low Tide Media"",""Oceanavigations""]","March 30th 2019, 08:34:05.000",572526,"[{""base_price"":28.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Low Tide Media"",""tax_amount"":0,""product_id"":23923,""category"":""Men's Clothing"",""sku"":""ZO0421804218"",""taxless_price"":28.99,""unit_discount_amount"":0,""min_price"":14.21,""_id"":""sold_product_572526_23923"",""discount_amount"":0,""created_on"":""2016-12-17T08:34:05+00:00"",""product_name"":""Chinos - dark blue"",""price"":28.99,""taxful_price"":28.99,""base_unit_price"":28.99},{""base_price"":84.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Oceanavigations"",""tax_amount"":0,""product_id"":12249,""category"":""Men's Clothing"",""sku"":""ZO0272702727"",""taxless_price"":84.99,""unit_discount_amount"":0,""min_price"":40.8,""_id"":""sold_product_572526_12249"",""discount_amount"":0,""created_on"":""2016-12-17T08:34:05+00:00"",""product_name"":""Suit - black"",""price"":84.99,""taxful_price"":84.99,""base_unit_price"":84.99}]","[""December 17th 2016, 08:34:05.000"",""December 17th 2016, 08:34:05.000""]","[""ZO0421804218"",""ZO0272702727""]",$113.98 ,113.98,2,2,order,frances
"[""Women's Clothing""]",EUR,Yasmine,Yasmine Phillips,FEMALE,43,Phillips,,Saturday,5,yasmine@phillips-family.zzz,,Asia,SA,"{
  ""lon"": 45,
  ""lat"": 25
}",,"[""Gnomehouse"",""Tigress Enterprises""]","March 30th 2019, 08:32:38.000",572525,"[{""base_price"":49.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Gnomehouse"",""tax_amount"":0,""product_id"":23020,""category"":""Women's Clothing"",""sku"":""ZO0329403294"",""taxless_price"":49.99,""unit_discount_amount"":0,""min_price"":26.99,""_id"":""sold_product_572525_23020"",""discount_amount"":0,""created_on"":""2016-12-17T08:32:38+00:00"",""product_name"":""A-line skirt - black/white"",""price"":49.99,""taxful_price"":49.99,""base_unit_price"":49.99},{""base_price"":18.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Tigress Enterprises"",""tax_amount"":0,""product_id"":18615,""category"":""Women's Clothing"",""sku"":""ZO0057000570"",""taxless_price"":18.99,""unit_discount_amount"":0,""min_price"":8.55,""_id"":""sold_product_572525_18615"",""discount_amount"":0,""created_on"":""2016-12-17T08:32:38+00:00"",""product_name"":""Print T-shirt - peacoat"",""price"":18.99,""taxful_price"":18.99,""base_unit_price"":18.99}]","[""December 17th 2016, 08:32:38.000"",""December 17th 2016, 08:32:38.000""]","[""ZO0329403294"",""ZO0057000570""]",$68.98 ,68.98,2,2,order,yasmine
"[""Women's Clothing"",""Women's Shoes""]",EUR,Wilhemina St.,Wilhemina St. Reyes,FEMALE,17,Reyes,,Saturday,5,wilhemina st.@reyes-family.zzz,Monte Carlo,Europe,MC,"{
  ""lon"": 7.4,
  ""lat"": 43.7
}",,"[""Pyramidustries active"",""Gnomehouse"",""Spherecords""]","March 30th 2019, 08:32:38.000",730455,"[{""base_price"":16.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Pyramidustries active"",""tax_amount"":0,""product_id"":11556,""category"":""Women's Clothing"",""sku"":""ZO0221802218"",""taxless_price"":16.99,""unit_discount_amount"":0,""min_price"":8.66,""_id"":""sold_product_730455_11556"",""discount_amount"":0,""created_on"":""2016-12-17T08:32:38+00:00"",""product_name"":""Tights - black"",""price"":16.99,""taxful_price"":16.99,""base_unit_price"":16.99},{""base_price"":64.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Gnomehouse"",""tax_amount"":0,""product_id"":16494,""category"":""Women's Clothing"",""sku"":""ZO0351603516"",""taxless_price"":64.99,""unit_discount_amount"":0,""min_price"":35.09,""_id"":""sold_product_730455_16494"",""discount_amount"":0,""created_on"":""2016-12-17T08:32:38+00:00"",""product_name"":""Trenchcoat - oil green"",""price"":64.99,""taxful_price"":64.99,""base_unit_price"":64.99},{""base_price"":74.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Gnomehouse"",""tax_amount"":0,""product_id"":16420,""category"":""Women's Shoes"",""sku"":""ZO0326603266"",""taxless_price"":74.99,""unit_discount_amount"":0,""min_price"":36,""_id"":""sold_product_730455_16420"",""discount_amount"":0,""created_on"":""2016-12-17T08:32:38+00:00"",""product_name"":""Ankle boots - musk"",""price"":74.99,""taxful_price"":74.99,""base_unit_price"":74.99},{""base_price"":14.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Spherecords"",""tax_amount"":0,""product_id"":12263,""category"":""Women's Clothing"",""sku"":""ZO0642206422"",""taxless_price"":14.99,""unit_discount_amount"":0,""min_price"":7.64,""_id"":""sold_product_730455_12263"",""discount_amount"":0,""created_on"":""2016-12-17T08:32:38+00:00"",""product_name"":""2 PACK - Vest - black/light grey"",""price"":14.99,""taxful_price"":14.99,""base_unit_price"":14.99}]","[""December 17th 2016, 08:32:38.000"",""December 17th 2016, 08:32:38.000"",""December 17th 2016, 08:32:38.000"",""December 17th 2016, 08:32:38.000""]","[""ZO0221802218"",""ZO0351603516"",""ZO0326603266"",""ZO0642206422""]",$171.96 ,171.96,4,4,order,wilhemina
"[""Men's Shoes"",""Men's Clothing""]",EUR,Marwan,Marwan King,MALE,51,King,,Saturday,5,marwan@king-family.zzz,Marrakesh,Africa,MA,"{
  ""lon"": -8,
  ""lat"": 31.6
}",Marrakech-Tensift-Al Haouz,"[""Angeldale"",""Low Tide Media""]","March 30th 2019, 08:31:12.000",572524,"[{""base_price"":64.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Angeldale"",""tax_amount"":0,""product_id"":1753,""category"":""Men's Shoes"",""sku"":""ZO0686006860"",""taxless_price"":64.99,""unit_discount_amount"":0,""min_price"":30.55,""_id"":""sold_product_572524_1753"",""discount_amount"":0,""created_on"":""2016-12-17T08:31:12+00:00"",""product_name"":""Boots - dark blue"",""price"":64.99,""taxful_price"":64.99,""base_unit_price"":64.99},{""base_price"":124.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Low Tide Media"",""tax_amount"":0,""product_id"":6721,""category"":""Men's Clothing"",""sku"":""ZO0407704077"",""taxless_price"":124.99,""unit_discount_amount"":0,""min_price"":63.74,""_id"":""sold_product_572524_6721"",""discount_amount"":0,""created_on"":""2016-12-17T08:31:12+00:00"",""product_name"":""Suit - blue"",""price"":124.99,""taxful_price"":124.99,""base_unit_price"":124.99}]","[""December 17th 2016, 08:31:12.000"",""December 17th 2016, 08:31:12.000""]","[""ZO0686006860"",""ZO0407704077""]",$189.98 ,189.98,2,2,order,marwan
"[""Men's Clothing""]",EUR,Jackson,Jackson Love,MALE,13,Love,,Saturday,5,jackson@love-family.zzz,Los Angeles,North America,US,"{
  ""lon"": -118.2,
  ""lat"": 34.1
}",California,"[""Low Tide Media""]","March 30th 2019, 08:18:14.000",572514,"[{""base_price"":59.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Low Tide Media"",""tax_amount"":0,""product_id"":22183,""category"":""Men's Clothing"",""sku"":""ZO0428004280"",""taxless_price"":59.99,""unit_discount_amount"":0,""min_price"":31.19,""_id"":""sold_product_572514_22183"",""discount_amount"":0,""created_on"":""2016-12-17T08:18:14+00:00"",""product_name"":""Summer jacket - dark blue"",""price"":59.99,""taxful_price"":59.99,""base_unit_price"":59.99},{""base_price"":29.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Low Tide Media"",""tax_amount"":0,""product_id"":12543,""category"":""Men's Clothing"",""sku"":""ZO0416804168"",""taxless_price"":29.99,""unit_discount_amount"":0,""min_price"":14.4,""_id"":""sold_product_572514_12543"",""discount_amount"":0,""created_on"":""2016-12-17T08:18:14+00:00"",""product_name"":""Shirt - light blue"",""price"":29.99,""taxful_price"":29.99,""base_unit_price"":29.99}]","[""December 17th 2016, 08:18:14.000"",""December 17th 2016, 08:18:14.000""]","[""ZO0428004280"",""ZO0416804168""]",$89.98 ,89.98,2,2,order,jackson
"[""Women's Shoes"",""Women's Clothing""]",EUR,Brigitte,Brigitte Morris,FEMALE,12,Morris,,Saturday,5,brigitte@morris-family.zzz,New York,North America,US,"{
  ""lon"": -74,
  ""lat"": 40.8
}",New York,"[""Tigress Enterprises"",""Gnomehouse""]","March 30th 2019, 08:18:14.000",572515,"[{""base_price"":41.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Tigress Enterprises"",""tax_amount"":0,""product_id"":4683,""category"":""Women's Shoes"",""sku"":""ZO0015100151"",""taxless_price"":41.99,""unit_discount_amount"":0,""min_price"":21,""_id"":""sold_product_572515_4683"",""discount_amount"":0,""created_on"":""2016-12-17T08:18:14+00:00"",""product_name"":""Over-the-knee boots - black"",""price"":41.99,""taxful_price"":41.99,""base_unit_price"":41.99},{""base_price"":59.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Gnomehouse"",""tax_amount"":0,""product_id"":8986,""category"":""Women's Clothing"",""sku"":""ZO0337203372"",""taxless_price"":59.99,""unit_discount_amount"":0,""min_price"":32.39,""_id"":""sold_product_572515_8986"",""discount_amount"":0,""created_on"":""2016-12-17T08:18:14+00:00"",""product_name"":""Summer dress - winsdor wine"",""price"":59.99,""taxful_price"":59.99,""base_unit_price"":59.99}]","[""December 17th 2016, 08:18:14.000"",""December 17th 2016, 08:18:14.000""]","[""ZO0015100151"",""ZO0337203372""]",$101.98 ,101.98,2,2,order,brigitte
"[""Men's Clothing""]",EUR,Phil,Phil Hardy,MALE,50,Hardy,,Saturday,5,phil@hardy-family.zzz,,Europe,GB,"{
  ""lon"": -0.1,
  ""lat"": 51.5
}",,"[""Oceanavigations"",""Elitelligence""]","March 30th 2019, 08:15:22.000",572513,"[{""base_price"":49.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Oceanavigations"",""tax_amount"":0,""product_id"":15447,""category"":""Men's Clothing"",""sku"":""ZO0274902749"",""taxless_price"":49.99,""unit_discount_amount"":0,""min_price"":24.5,""_id"":""sold_product_572513_15447"",""discount_amount"":0,""created_on"":""2016-12-17T08:15:22+00:00"",""product_name"":""Suit jacket - grey"",""price"":49.99,""taxful_price"":49.99,""base_unit_price"":49.99},{""base_price"":10.99,""discount_percentage"":0,""quantity"":1,""manufacturer"":""Elitelligence"",""tax_amount"":0,""product_id"":17977,""category"":""Men's Clothing"",""sku"":""ZO0546505465"",""taxless_price"":10.99,""unit_discount_amount"":0,""min_price"":5.71,""_id"":""sold_product_572513_17977"",""discount_amount"":0,""created_on"":""2016-12-17T08:15:22+00:00"",""product_name"":""Long sleeved top - white/light green"",""price"":10.99,""taxful_price"":10.99,""base_unit_price"":10.99}]","[""December 17th 2016, 08:15:22.000"",""December 17th 2016, 08:15:22.000""]","[""ZO0274902749"",""ZO0546505465""]",$60.98 ,60.98,2,2,order,phil
